3novices,0.76,0.69,0.5,0.742259158,0.58,0.56,0.68
4da_ppl,0.25,0.44,0.11,0.3,0.35,0.24,0.14
787Blogger,0.29,0.46,0.22,0.31,0.42,0.39,0.3
AADVANTAGEPAINT,0.34,0.43,0.68,0.4,0.39,0.4,0.36
ASauer65,0.33,0.36,0.28,0.46,0.35,0.4,0.04
Amycrocker76Amy,0.32,0.41,0.48,0.25,0.24,0.22,0.28
B1957mrs,0.56,0.45,0.52,0.62,0.59,0.59,0.42
BaxterDerrick,0.34,0.42,0.14,0.15,0.52,0.37,0.1
BetterLife365,0.36,0.4,0.27,0.49,0.44,0.11,0.34
BettyKosegi,0.24,0.44,0.21,0.55,0.33,0.37,0.13
BigKahuna919191,0.27,0.26,0.14,0.36,0.33,0.22,0.24
BillKS1,0.32,0.45,0.15,0.11,0.25,0.32,0.15
Billright50,0.34,0.35,0.19,0.6,0.25,0.33,0.17
BoCleo2,0.24,0.42,0.39,0.32,0.26,0.35,0.25
BreastsR4babies,0.34,0.26,0.06,0.4,0.27,0.25,0.24
BrothLGregarius,0.34,0.51,0.4,0.42,0.29,0.51,0.31
Buddah_Luck,0.48,0.48,0.72,0.53,0.53,0.55,0.48
CalexQuint,0.21,0.38,0.24,0.34,0.34,0.38,0.51
Cami999Taylor,0.45,0.54,0.7,0.44,0.47,0.64,0.68
Caseysprout,0.35,0.46,0.44,0.46,0.47,0.32,0.13
CaudlemeCC,0.25,0.42,0.41,0.29,0.27,0.38,0.12
ChandletJeff,0.26,0.31,0.31,0.5,0.3,0.47,0.22
ChrisCoon4,0.45,0.33,0.24,0.52,0.32,0.22,0.5
CindyLeinwand12,0.28,0.27,0.02,0.39,0.39,0.4,0.07
DChamps86,0.23,0.27,0.25,0.27,0.4,0.26,0.05
DLSTX1026,0.41,0.45,0.24,0.61,0.4,0.31,0.24
DSteampipe,0.43,0.54,0.21,0.33,0.62,0.65,0.13
D_Zappala,0.36,0.35,0.09,0.54,0.23,0.25,0.22
DabyBaby,0.54,0.49,0.41,0.5,0.59,0.53,0.28
DanHawkTweets,0.35,0.46,0.2,0.36,0.29,0.2,0.23
DawnMacc,0.23,0.44,0.34,0.47,0.36,0.44,0.25
DayJojo771980,0.57,0.6,0.19,0.5,0.45,0.4,0.34
Debbierg51,0.38,0.51,0.17,0.22,0.41,0.37,0.36
DebraDianeParr,0.22,0.26,0.29,0.23,0.51,0.15,0.21
Deedra3,0.27,0.48,0.25,0.39,0.28,0.14,0.22
DelfinaRosdel2,0.25,0.33,0.16,0.22,0.31,0.1,0.1
DonaldGBoudreau,0.31,0.35,0.15,0.67,0.33,0.17,0.06
Donna_West,0.42,0.39,0.19,0.22,0.23,0.19,0.56
Donnasm80781187,0.43,0.49,0.37,0.35,0.53,0.46,0.76
DoubleEagle49,0.21,0.2,0.25,0.4,0.22,0.27,0.14
DrDHMenke,0.18,0.11,0.06,0.14,0.24,0.16,0.14
DrSue19380,0.33,0.41,0.34,0.43,0.19,0.3,0.32
DreamWeaver61,0.4,0.27,0.12,0.3,0.46,0.36,0.25
DunkirkDavid,0.21,0.33,0.46,0.29,0.4,0.29,0.18
EMMA__732,0.26,0.38,0.43,0.55,0.35,0.37,0.34
Eagle1one1,0.39,0.23,0.14,0.39,0.45,0.3,0.33
Elijahmalcolm,0.5,0.61,0.26,0.13,0.31,0.78,0.28
ElizabethAnn625,0.2,0.24,0.28,0.13,0.36,0.2,0.07
Ellmers_Renee,0.3,0.47,0.44,0.25,0.39,0.34,0.22
EverydayGene,0.38,0.47,0.31,0.37,0.31,0.36,0.21
Fourdue,0.15,0.45,0.17,0.32,0.22,0.32,0.08
FousFan,0.565,0.63,0.55,0.6467034,0.31,0.63,0.31
FullMetalFinch,0.26,0.18,0.12,0.37,0.29,0.19,0.06
GPN14,0.32,0.34,0.17,0.29,0.34,0.1,0.15
GTYLER4591,0.37,0.31,0.17,0.33,0.53,0.25,0.06
GamerOps,0.15,0.21,0.39,0.31,0.3,0.19,0.01
GaryBDuglin,0.59,0.81,0.69,0.6,0.793147134,0.91,0.47
Geddy009,0.26,0.32,0.2,0.45,0.2,0.39,0.23
Gero_Lou,0.35,0.33,0.12,0.32,0.19,0.31,0.24
GideonJagged,0.34,0.31,0.19,0.34,0.24,0.39,0.19
GidgetMccann,0.38,0.37,0.16,0.27,0.46,0.32,0.14
GlennMcmillan14,0.38,0.34,0.45,0.44,0.24,0.26,0.28
GunksBound,0.24,0.2,0.08,0.4,0.24,0.16,0.03
HillelSims,0.26,0.31,0.24,0.24,0.17,0.24,0.17
HondaDriver13,0.22,0.38,0.1,0.28,0.19,0.23,0.37
HopSchipJump,0.37,0.4,0.21,0.31,0.55,0.37,0.18
HydroElections,0.49,0.81,0.44,0.515,0.64,0.73,0.3
Info24US,0.55,0.62,0.55,0.72,0.61,0.48,0.57
Inforwarrior2,0.55,0.2,0.22,0.26,0.62,0.2,0.03
InstantA77,0.39,0.43,0.27,0.3,0.41,0.3,0.23
ItisMyTimeNow,0.36,0.53,0.52,0.39,0.52,0.37,0.47
Janice17215561,0.16,0.13,0.36,0.26,0.33,0.24,0.2
JayVanorman,0.34,0.36,0.03,0.41,0.36,0.37,0.29
JessMe757,0.33,0.58,0.15,0.38,0.4,0.49,0.26
