"Las Vegas, NV",Las Vegas NV
"Raleigh-Durham-Fayetteville,  NC",Raleigh-Durham (Fayetteville) NC
"Tampa-St. Petersburg, FL",Tampa-St.Petersburg (Sarasota) FL
"Cleveland, Ohio",Cleveland-Akron (Canton) OH
"Ceder Rapids-Waterloo-Iowa City-Dublin, Iowa",Cedar Rapids-Waterloo-Iowa City & Dubuque IA
"Philadelphia, PA",Philadelphia PA
"Denver, CO",Denver CO
"Milwaukee, WI",Milwaukee WI
"San Francisco-Oakland-San Jose, CA",San Francisco-Oakland-San Jose CA
"Phoenix-Prescott, AZ",Phoenix (Prescott) AZ
"Boston, MA/Manchester, NH",Boston MA (Manchester NH)
"Cincinnati, OH",Cincinnati OH
"Norfolk-Portsmouth-Newport News, NC",Norfolk-Portsmouth-Newport News VA
"Greenville-Spartanburg, SC/Asheville-Anderson, NC",Greenville-Spartanburg SC-Asheville NC-Anderson SC
"Washington, DC/Hagerstown, MD",Washington DC (Hagerstown MD)
"New York City, NY",New York NY
"Miami-Fort Lauderdale, FL",Miami-Ft. Lauderdale FL
"Orlando-Daytona Beach-Melbourne, FL",Orlando-Daytona Beach-Melbourne FL
"Sioux City, Iowa",Sioux City IA
"Reno, NV",Reno NV
"Des Moines-Ames, Iowa",Des Moines-Ames IA
"Charlotte, NC",Charlotte NC
"Colorado Springs-Pueblo, CO",Colorado Springs-Pueblo CO
"Columbia, SC",Columbia SC
"Roanoke-Lynchburg, VA",Roanoke-Lynchburg VA
